Flag,Nationality plates,Country,Capital,Languages,People
,AL,Albania,Tirana,Albanian,Albanian
,AND,Andorra,Andorra la Vella,Catalan,Andorran
,A,Austria,Vienna,German,Austrian
,BY,Belarus,Minsk,Belarusian,Belarusian
,B,Belgium,Brussels,French,Belgian
,BIH,Bosnia and Herzegovina,Sarajevo,Croatian,Bosnian
,BG,Bulgaria,Sofia,Bulgarian,Bulgarian
,HR,Croatia,Zagreb,Croatian,Croat
,CY,Cyprus,Lefkosia (Nicosia),Greek,Cyprian
,CZ,Czech Republic,Prague,Czech,Czech
,DK,Denmark,Copenhagen,Danish,Dane
,EST,Estonia,Tallinn,Estonian,Estonian
,FIN,Finland,Helsinki,Finnish,Finn
,F,France,Paris,French,French
,D,Germany,Berlin,German,German
,GR,Greece,Athens,Greek,Greek
,H,Hungary,Budapest,Hungarian,Hungarian
,IS,Iceland,Reykjavik,Icelandic,Icelander
,IRL,Ireland,Dublin,Gaelic,Irish
,I,Italy,Rome,Italian,Italian
,LV,Latvia,Riga,Latvian,Latvian
,FL,Liechtenstein,Vaduz,German,Liechtensteiner
,LT,Lithuania,Vilnius,Lithuanian,Lithuanian
,L,Luxembourg,Luxembourg,French,Luxembourger
,MK,Former Yugoslav Republic of Macedonia,Skopje,Macedonian,Macedonian
,M,Malta,Valletta,Maltese,Maltese
,MD,Moldova,Chisinau,Moldavian,Moldavian
,MC,Monaco,Monaco,French,Monacan
,SCG,Montenegro,Podgorica,Serbian,Montenegrin
,NL , the Netherlands,Amsterdam,Dutch,Netherlander
,N,Norway,Oslo,Norwegian,Norwegian
,PL,Poland,Warsaw,Polish,Pole
,P,Portugal,Lisbon,Portuguese,Portuguese
,RO,Romania,Bucharest,Romanian,Romanian
,RUS,Russia,Moscow,Russian,Russian
,RSM,San Marino,San Marino,Italian,San Marinese
,SCG,Serbia,Belgrade,Serbian,Serb
,SK,Slovakia,Bratislava,Slovakian,Slovak
,SLO,Slovenia,Ljubljana,Slovenian,Slovenian
,E,Spain,Madrid,Spanish,Spaniard
,S,Sweden,Stockholm,Swedish,Swede
,CH,Switzerland,Bern,German,Swiss
,TR,Turkey,Ankara,Turkish,Turk
,UA,Ukraine,Kiev,Ukrainian,Ukrainian
,GB,United Kingdom,London,English,English
